市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,LocName,lng,lat
福生市大字福生,110,1,0,1,7,0,1,5,1,0,5,0,1,0,0,3,0,0,1,71,1,2,33,12,1,0,1,1,0,10,10,26,4,5,0,0,17,東京都/福生市/福生,139.32147,35.74108
福生市大字熊川,79,1,0,1,5,0,1,4,0,0,2,0,0,0,1,1,0,0,0,48,0,2,22,1,0,0,0,1,0,7,15,23,4,0,0,0,19,東京都/福生市/熊川,139.34305,35.72349
福生市北田園１丁目,9,0,0,0,1,0,0,0,0,1,3,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,2,東京都/福生市/北田園/一丁目,139.32471,35.73295
福生市北田園２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,東京都/福生市/北田園/二丁目,139.32144,35.73615
福生市南田園１丁目,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,4,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,東京都/福生市/南田園/一丁目,139.33078,35.72129
福生市南田園２丁目,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,東京都/福生市/南田園/二丁目,139.33087,35.72626
福生市南田園３丁目,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,東京都/福生市/南田園/三丁目,139.32875,35.72987
福生市加美平１丁目,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,0,0,0,0,3,1,5,0,0,0,0,5,東京都/福生市/加美平/一丁目,139.32616,35.75005
福生市加美平２丁目,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,0,東京都/福生市/加美平/二丁目,139.32396,35.74909
福生市加美平３丁目,16,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,1,0,0,0,0,0,2,6,0,0,0,0,6,東京都/福生市/加美平/三丁目,139.32188,35.7477
福生市加美平４丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,6,1,1,0,0,0,0,東京都/福生市/加美平/四丁目,139.32492,35.75333
福生市東町,54,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,49,0,0,12,0,0,0,0,0,0,37,0,3,0,1,0,0,2,東京都/福生市/東町,139.32751,35.74382
狛江市岩戸北１丁目,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,東京都/狛江市/岩戸北/一丁目,139.58191,35.63655
狛江市岩戸北２丁目,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,東京都/狛江市/岩戸北/二丁目,139.58369,35.63791
狛江市岩戸北３丁目,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,東京都/狛江市/岩戸北/三丁目,139.58328,35.6339
狛江市岩戸北４丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,2,1,1,0,0,0,0,1,東京都/狛江市/岩戸北/四丁目,139.58731,35.63459
狛江市岩戸南１丁目,10,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,2,1,0,0,0,1,東京都/狛江市/岩戸南/一丁目,139.58386,35.63073
狛江市岩戸南２丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,4,1,2,0,0,1,東京都/狛江市/岩戸南/二丁目,139.58723,35.63042
狛江市岩戸南３丁目,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,東京都/狛江市/岩戸南/三丁目,139.59096,35.62984
狛江市岩戸南４丁目,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,東京都/狛江市/岩戸南/四丁目,139.59077,35.62597
狛江市東野川１丁目,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,東京都/狛江市/東野川/一丁目,139.58235,35.64191
狛江市東野川２丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,1,5,2,1,0,0,2,東京都/狛江市/東野川/二丁目,139.57893,35.64449
狛江市東野川３丁目,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,5,2,1,0,0,2,東京都/狛江市/東野川/三丁目,139.58138,35.64645
狛江市東野川４丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,東京都/狛江市/東野川/四丁目,139.58519,35.64382
狛江市西野川１丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,5,2,0,0,0,3,東京都/狛江市/西野川/一丁目,139.5769,35.64724
狛江市西野川２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,東京都/狛江市/西野川/二丁目,139.57439,35.64714
狛江市西野川３丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,2,東京都/狛江市/西野川/三丁目,139.57094,35.64502
狛江市西野川４丁目,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,2,2,0,1,0,0,1,東京都/狛江市/西野川/四丁目,139.57202,35.64832
狛江市和泉本町１丁目,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,16,0,1,0,0,0,0,0,2,5,2,1,0,0,2,東京都/狛江市/和泉本町/一丁目,139.57744,35.63736
狛江市和泉本町２丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,東京都/狛江市/和泉本町/二丁目,139.57846,35.64128
狛江市和泉本町３丁目,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,1,6,3,0,2,0,1,東京都/狛江市/和泉本町/三丁目,139.57346,35.64093
狛江市和泉本町４丁目,36,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,0,1,7,0,0,0,0,0,0,16,3,7,4,0,0,0,3,東京都/狛江市/和泉本町/四丁目,139.56841,35.64401
